"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"읽나","6","","","",""
"따로","6","","","",""
"수많은","6","","","",""
"무엇보다","6","","","",""
"쓸","6","","","",""
"집중하는","6","","","",""
"공감을","6","","","",""
"도서관에","6","","","",""
"느껴지는","6","","","",""
"말은","6","","","",""
"읽다보면","6","","","",""
"속에","6","","","",""
"전문가가","6","","","",""
"읽었는데","6","","","",""
"수밖에","6","","","",""
"유명한","6","","","",""
"쉽고","6","","","",""
"세상이","6","","","",""
"깨달음을","6","","","",""
"주변","6","","","",""
"이전에","6","","","",""
"뉴스레터","6","","","",""
"조","6","","","",""
"당연히","6","","","",""
"리터러시를","6","","","",""
"리터러시가","6","","","",""
"것들을","6","","","",""
"뿐","6","","","",""
"텍스트","6","","","",""
"필요하다는","6","","","",""
"과정을","6","","","",""
"거예요","6","","","",""
"미리","6","","","",""
"것들이","6","","","",""
"읽었다","6","","","",""
"충분히","6","","","",""
"사회가","6","","","",""
"바꾸는","6","","","",""
"읽히는","6","","","",""
"학교는","6","","","",""
"읽어서","6","","","",""
"보통","6","","","",""
"나와","6","","","",""
"알게","6","","","",""
"바탕으로","6","","","",""
"적은","6","","","",""
"하는데요","6","","","",""
"대부분의","6","","","",""
"비판적","6","","","",""
"입니다","6","","","",""
"가치를","6","","","",""
"컴퓨터","6","","","",""
"읽거나","6","","","",""
"읽었을","6","","","",""
"기능이","6","","","",""
"늘어나고","6","","","",""
"종이책이","6","","","",""
"않았던","6","","","",""
"정보의","6","","","",""
"맞는","6","","","",""
"있다면","6","","","",""
"앞서","6","","","",""
"말한","6","","","",""
"지적","6","","","",""
"탐방","6","","","",""
"문학기행","6","","","",""
"특별기획","6","","","",""
"독서인권","6","","","",""
"차순정과","6","","","",""
"이민호의","6","","","",""
"토포포엠","6","","","",""
"카드뉴스","6","","","",""
"대사에게","6","","","",""
"기획","6","","","",""
"인터뷰","6","","","",""
"프린트","6","","","",""
"이어","6","","","",""
"늘","6","","","",""
"저작권자","6","","","",""
"readersnews","6","","","",""
"","6","","","",""
"한국인은","6","","","",""
"독서량을","6","","","",""
"생각해","6","","","",""
"별","6","","","",""
"고전을","6","","","",""
"세대가","6","","","",""
"독후감을","6","","","",""
"프로그램을","6","","","",""
"책이라고","6","","","",""
"일주일에","6","","","",""
"의미","6","","","",""
"있었습니다","6","","","",""
"소박한","6","","","",""
"공유하기","6","","","",""
"관련글","6","","","",""
"가까운","6","","","",""
"듣고","6","","","",""
"책장","6","","","",""
"취미인가","6","","","",""
"그들이","6","","","",""
"정보가","6","","","",""
"없어","6","","","",""
"등으로","6","","","",""
"문명의","6","","","",""
"생각합니다","6","","","",""
"힘","6","","","",""
"아닐까요","6","","","",""
"있는데요","6","","","",""
"기사보기","6","","","",""
"이용할","6","","","",""
"인생의","6","","","",""
"‘독서","6","","","",""
"어른이","6","","","",""
"능력","6","","","",""
"공감","6","","","",""
"독서교육","6","","","",""
"전자책어플을","6","","","",""
"이용해서","6","","","",""
"하지요","6","","","",""
"싶을","6","","","",""
"전자책에","6","","","",""
"국내소설","6","","","",""
"43","5","","","",""
"47","5","","","",""
"48","5","","","",""
"2019","5","","","",""
"정보와","5","","","",""
"3권","5","","","",""
"4명은","5","","","",""
"1년에","5","","","",""
"고등학생","5","","","",""
"교과서","5","","","",""
"잡지","5","","","",""
"일반","5","","","",""
"2013년","5","","","",""
"독서율도","5","","","",""
"사라질","5","","","",""
"없을","5","","","",""
"과거의","5","","","",""
"정도로","5","","","",""
"현재","5","","","",""
"반복해서","5","","","",""
"이해하는","5","","","",""
"한계가","5","","","",""
"나쁜","5","","","",""
"‘국민독서실태조사","5","","","",""
"어떨까","5","","","",""
"처음에는","5","","","",""
"비중이","5","","","",""
"성장","5","","","",""
"중인","5","","","",""
"위기","5","","","",""
"그중","5","","","",""
"2015년에는","5","","","",""
"국내","5","","","",""
"하다","5","","","",""
"변화","5","","","",""
"이른바","5","","","",""
"파악하는","5","","","",""
"10년","5","","","",""
"통해서","5","","","",""
"생각할","5","","","",""
"늘어나는","5","","","",""
"자료에","5","","","",""
"중이다","5","","","",""
"못하고","5","","","",""
"60대","5","","","",""
"인구","5","","","",""
