"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"키우기","14","","","",""
"실제","14","","","",""
"학년","14","","","",""
"회사소개","14","","","",""
"ⓒ","14","","","",""
"연예","14","","","",""
"질문을","14","","","",""
"책만","14","","","",""
"사람을","14","","","",""
"마음을","14","","","",""
"필요가","14","","","",""
"경우도","14","","","",""
"저자의","14","","","",""
"아닙니다","14","","","",""
"것인가","14","","","",""
"만들","14","","","",""
"글자","14","","","",""
"인쇄","14","","","",""
"그걸","14","","","",""
"말을","14","","","",""
"삶에","14","","","",""
"정보가","14","","","",""
"지식","14","","","",""
"있다면","14","","","",""
"있을까요","14","","","",""
"나와","14","","","",""
"가치","14","","","",""
"들고","14","","","",""
"배우고","14","","","",""
"있는지","14","","","",""
"dex","14","","","",""
"ednlus","14","","","",""
"xc","14","","","",""
"전자책과","14","","","",""
"시대를","14","","","",""
"책에서","14","","","",""
"공연","14","","","",""
"기사검색","14","","","",""
"위로","14","","","",""
"c","14","","","",""
"설","14","","","",""
"환경을","14","","","",""
"자유롭게","14","","","",""
"TEL","14","","","",""
"태그","14","","","",""
"Close","14","","","",""
"전체보기","13","","","",""
"서평","13","","","",""
"news","13","","","",""
"국힘","13","","","",""
"⋯","13","","","",""
"티스토리","13","","","",""
"필요하다","13","","","",""
"년보다","13","","","",""
"‘책","13","","","",""
"현재","13","","","",""
"높다","13","","","",""
"비슷한","13","","","",""
"놓고","13","","","",""
"자체가","13","","","",""
"여","13","","","",""
"생각한다","13","","","",""
"내용","13","","","",""
"등","13","","","",""
"성장","13","","","",""
"달리","13","","","",""
"사실은","13","","","",""
"읽기의","13","","","",""
"식으로","13","","","",""
"찾는","13","","","",""
"바란다","13","","","",""
"위대한","13","","","",""
"Cor","13","","","",""
"종교","13","","","",""
"왜냐면","13","","","",""
"선택","13","","","",""
"만에","13","","","",""
"뿐이다","13","","","",""
"매주","13","","","",""
"f","13","","","",""
"재미있는","13","","","",""
"수밖에","13","","","",""
"하는가","13","","","",""
"타인의","13","","","",""
"않다","13","","","",""
"순간","13","","","",""
"모르는","13","","","",""
"넘어","13","","","",""
"해요","13","","","",""
"능력이","13","","","",""
"그것이","13","","","",""
"과정을","13","","","",""
"하게","13","","","",""
"돈을","13","","","",""
"등으로","13","","","",""
"굳이","13","","","",""
"때마다","13","","","",""
"그것을","13","","","",""
"힘","13","","","",""
"기기를","13","","","",""
"삭제","13","","","",""
"서점에서","13","","","",""
"자기계발","13","","","",""
"무단전재","13","","","",""
"재배포","13","","","",""
"금지","13","","","",""
"브런치","13","","","",""
"읽기는","13","","","",""
"읽으며","13","","","",""
"상황을","13","","","",""
"피플","13","","","",""
"저자는","13","","","",""
"가까이","13","","","",""
"주","13","","","",""
"팝업","13","","","",""
"가능합니다","13","","","",""
"방역","13","","","",""
"좋아요","13","","","",""
"때까지","13","","","",""
"YES","13","","","",""
"쏘이","13","","","",""
"Ige","13","","","",""
"on","12","","","",""
"노동","12","","","",""
"독후감","12","","","",""
"검찰","12","","","",""
"금","12","","","",""
"tistory","12","","","",""
"문제는","12","","","",""
"시장","12","","","",""
"권이","12","","","",""
"팔리는","12","","","",""
"되면","12","","","",""
"권도","12","","","",""
"나은","12","","","",""
"듣는","12","","","",""
"말","12","","","",""
"수는","12","","","",""
"지","12","","","",""
"상당히","12","","","",""
"점차","12","","","",""
"없을","12","","","",""
"정도로","12","","","",""
"독서와","12","","","",""
"말이다","12","","","",""
"위","12","","","",""
"물론","12","","","",""
"기록","12","","","",""
"종이","12","","","",""
"대는","12","","","",""
"사실을","12","","","",""
"청소년","12","","","",""
"확인할","12","","","",""
"처음부터","12","","","",""
"과정에서","12","","","",""
"충분히","12","","","",""
"살기","12","","","",""
"Kko","12","","","",""
"회","12","","","",""
"알려드립니다","12","","","",""
"씨네","12","","","",""
"이코노미인사이트","12","","","",""
"사업","12","","","",""
"바꾸는","12","","","",""
"김병주","12","","","",""
"“북한","12","","","",""
"노래","12","","","",""
"유대인","12","","","",""
"거부","12","","","",""
"됐다","12","","","",""
"없다고","12","","","",""
"fcebook","12","","","",""
"RelMedi","12","","","",""
"dstre","12","","","",""
"sx","12","","","",""
"사이트맵","12","","","",""
"검색어","12","","","",""
"없다는","12","","","",""
"나도","12","","","",""
"수많은","12","","","",""
"적","12","","","",""
"작가가","12","","","",""
"이해할","12","","","",""
"결과를","12","","","",""
"뭔가","12","","","",""
"그럴","12","","","",""
"로그아웃","12","","","",""
"중요성을","12","","","",""
"있던","12","","","",""
"지역","12","","","",""
"채널","12","","","",""
"텍스트","12","","","",""
"단어를","12","","","",""
"커뮤니티","12","","","",""
"부분을","12","","","",""
"거","12","","","",""
"사회에","12","","","",""
"사회가","12","","","",""
"보통","12","","","",""
"개인의","12","","","",""
"안에서","12","","","",""
"있었습니다","12","","","",""
"세계를","12","","","",""
"그들이","12","","","",""
"소설을","12","","","",""
"나라","12","","","",""
"서재","12","","","",""
"u","12","","","",""
"TOP","12","","","",""
"당시","12","","","",""
"정보의","12","","","",""
"전체기사","12","","","",""
"들었다","12","","","",""
"무단","12","","","",""
"그들은","12","","","",""
"논단","12","","","",""
"주목","12","","","",""
"뇌를","12","","","",""
"공감","12","","","",""
"제조","12","","","",""
"주민들이","12","","","",""
"절반","12","","","",""
"권에","12","","","",""
"아마존","12","","","",""
"주식","12","","","",""
"X","12","","","",""
"감사","12","","","",""
"이용할","12","","","",""
"플러스","12","","","",""
"크레마","12","","","",""
"dc","12","","","",""
"oint","12","","","",""
"언어","11","","","",""
"민주당","11","","","",""
"북한","11","","","",""
"게임","11","","","",""
"이름","11","","","",""
"습관","11","","","",""
"갈","11","","","",""
"하나의","11","","","",""
"약","11","","","",""
"명은","11","","","",""
"명이","11","","","",""
"중이다","11","","","",""
"출처","11","","","",""
"인","11","","","",""
"있는가","11","","","",""
"문학의","11","","","",""
"년이","11","","","",""
"빠르게","11","","","",""
"사회의","11","","","",""
"이해하는","11","","","",""
"소설은","11","","","",""
"나오는","11","","","",""
"주요","11","","","",""
"조금씩","11","","","",""
"작품을","11","","","",""
"문화체육관광부","11","","","",""
"대해서는","11","","","",""
"등에서","11","","","",""
"학생들은","11","","","",""
"알게","11","","","",""
"사회를","11","","","",""
"인기글","11","","","",""
"제목","11","","","",""
"이용약관","11","","","",""
"정치일반","11","","","",""
"사회일반","11","","","",""
"장애인","11","","","",""
"경제일반","11","","","",""
"국제일반","11","","","",""
"방송·연예","11","","","",""
"스포츠일반","11","","","",""
"대응","11","","","",""
"높아","11","","","",""
"논란","11","","","",""
"통","11","","","",""
"넘게","11","","","",""
"응답이","11","","","",""
"아침","11","","","",""
"등록일자","11","","","",""
"장","11","","","",""
"된다고","11","","","",""
"사람들에게","11","","","",""
"중에","11","","","",""
"모습을","11","","","",""
"기준을","11","","","",""
"강조하는","11","","","",""
"책들은","11","","","",""
"두고","11","","","",""
"교수는","11","","","",""
"바꿀","11","","","",""
"없었다","11","","","",""
"편하게","11","","","",""
"TESAT","11","","","",""
"교양","11","","","",""
"힘을","11","","","",""
"네이버밴드","11","","","",""
"얻는","11","","","",""
"하는지","11","","","",""
"중요합니다","11","","","",""
"이야기가","11","","","",""
"시리즈","11","","","",""
"등에","11","","","",""
"생각은","11","","","",""
"않아도","11","","","",""
"리터러시의","11","","","",""
"하죠","11","","","",""
"금융","11","","","",""
"듣고","11","","","",""
"플랫폼","11","","","",""
"고전","11","","","",""
"앞서","11","","","",""
"해당","11","","","",""
"글이","11","","","",""
"들을","11","","","",""
"대부분의","11","","","",""
"삼성","11","","","",""
"기능이","11","","","",""
"nver","11","","","",""
"기사공유하기","11","","","",""
"사고","11","","","",""
"방법은","11","","","",""
"il","11","","","",""
"미래한국","11","","","",""
"회장","11","","","",""
"올바른","11","","","",""
"RSS","11","","","",""
"하루","11","","","",""
"국민이","11","","","",""
"이용하는","11","","","",""
"줄이기","11","","","",""
"신청","11","","","",""
"스마트","11","","","",""
"최소","11","","","",""
"많지","11","","","",""
"저도","11","","","",""
"독서습관","11","","","",""
"느린","11","","","",""
"전자책에","11","","","",""
"영국","11","","","",""
"따","11","","","",""
"않습니까","11","","","",""
"중앙일보","11","","","",""
"삼성전자","11","","","",""
"책읽아웃","11","","","",""
"ed","11","","","",""
"연구","10","","","",""
"도심","10","","","",""
"강화","10","","","",""
"외교","10","","","",""
"선거","10","","","",""
"문제","10","","","",""
"않아서","10","","","",""
"페이지를","10","","","",""
"제일","10","","","",""
"전체의","10","","","",""
"조사됐다","10","","","",""
"문화체육관광부가","10","","","",""
"였다","10","","","",""
"공부","10","","","",""
"일이다","10","","","",""
"일본의","10","","","",""
"길을","10","","","",""
"당연히","10","","","",""
"없어","10","","","",""
"한편","10","","","",""
"콘텐츠를","10","","","",""
"감소","10","","","",""
"작품","10","","","",""
"미국의","10","","","",""
"주고","10","","","",""
"찾을","10","","","",""
"시장이","10","","","",""
"기간","10","","","",""
"받고","10","","","",""
"얻을","10","","","",""
"결과가","10","","","",""
"변화","10","","","",""
"생각할","10","","","",""
"지속적인","10","","","",""
"구매","10","","","",""
"재미를","10","","","",""
"즐기는","10","","","",""
"온","10","","","",""
"예술","10","","","",""
"대가","10","","","",""
"조사한","10","","","",""
"만나는","10","","","",""
"대부분","10","","","",""
