"Item","Fq","Concordance","Ventilation","Carte","Sélection"
"madison","4","","","",""
"synthèse","4","","","",""
"fabricant","4","","","",""
"acheté","4","","","",""
"acteur","4","","","",""
"donné","4","","","",""
"label","4","","","",""
"diffusion","4","","","",""
"démarche","4","","","",""
"auto","4","","","",""
"mère","4","","","",""
"chercher","4","","","",""
"sabourin","4","","","",""
"affaires","4","","","",""
"représente","4","","","",""
"normal","4","","","",""
"liacas","4","","","",""
"et…","4","","","",""
"amateurs","4","","","",""
"suite","4","","","",""
"précédents","4","","","",""
"sempre","4","","","",""
"électorale","4","","","",""
"code","4","","","",""
"conduite","4","","","",""
"sipa","4","","","",""
"institut","4","","","",""
"estiment","4","","","",""
"gleeph","4","","","",""
"utilisateur","4","","","",""
"populaires","4","","","",""
"suivis","4","","","",""
"idboox","4","","","",""
"permettre","4","","","",""
"publicités","4","","","",""
"mercredi","4","","","",""
"professionnels","4","","","",""
"téléphones","4","","","",""
"récit","4","","","",""
"vieux","4","","","",""
"philosophe","4","","","",""
"colonialisme","4","","","",""
"lise","4","","","",""
"formes","4","","","",""
"scène","4","","","",""
"titeuf","4","","","",""
"astérix","4","","","",""
"sentir","4","","","",""
"aude","4","","","",""
"commencer","4","","","",""
"scolarité","4","","","",""
"adapté","4","","","",""
"fantastique","4","","","",""
"les","4","","","",""
"mail","4","","","",""
"matins","4","","","",""
"prenez","4","","","",""
"établissement","4","","","",""
